"number","frn","business_name","business_address","foreign_voice_provider","country","other_frns","other_dba_names","previous_dba_names","robocall_mitigation_contact_name","contact_title","contact_department","contact_business_address","contact_country","contact_telephone_number","contact_phone_extension","implementation","voice_service_provider_choice","gateway_provider_choice","intermediate_provider_choice","last_updated","filing_url"
"RMD0002313","0003734951","Miles Cooperative Telephone Association","342 Ferry Road
PO Box 280
Miles IA 52064","No","United States of America","0032385577","Miles Communications, LLC","None","Scott Boehde","General Manager","General Business Office","342 FERRY ROAD PO BOX 280
MILES IA 52064","United States of America","5636827111","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-12-16","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=e89792c11bf0741002beea82f54bcb60&view=sp"
"RMD0002314","0003748084","Grand Mound Cooperative Telephone Association","705 Clinton Street
PO Box 316
Grand Mound IA 52751","No","United States of America","0003749835","None","None","Travis Ballou","General Manager","Business Office","705 Clinton Street
Grand Mound IA 52751","United States of America","563-847-3000","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2025-03-05","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=8f29da451bf0741002beea82f54bcb6f&view=sp"
"RMD0002315","0002331601","H&B Communications, Inc.","108 N. Main St.
PO Box 108
Holyrood KS 67450","No","United States of America","0003764545","H&B Cable Services, Inc","None","Brandon Koch","President/GM","Management","108 N Main
Holyrood KS 67450","United States of America","785-252-4000","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-09-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=48985e891bbc34102eb2a82fe54bcbd2&view=sp"
"RMD0002316","0028957306","Point Broadband Fiber Holding, LLC","2901 Society Hill Road
Opelika Alabama 36804","No","United States of America","0028957306
0006823991
0026198762
0028292316
0028765907
0029931086
0030057756
0030057905","Point Broadband","Sunset Digital
BVU Optinet
Point Broadband LLC
Clarity Fiber Solutions","John Kemp","Deputy General Counsel","Legal","2901 Society Hill Road
Opelika AL 36804","United States of America","3345240335","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-10-02","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=72aade451bb8741064c4426de54bcbf9&view=sp"
"RMD0002317","0002595452","Dumont Telephone Company","PO Box 349
506 Pine St.
Dumont IA 50625","No","United States of America","None","None","None","Roger Kregel","General Manager","Operations","506 Pine Street, PO Box 349
Dumont IA 50625","United States of America","641-857-3211","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-08-09","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=044ed68d1bb8741064c4426de54bcba5&view=sp"
"RMD0002318","0003773520","Bruce Telephone Company","620 North Alvey Street
PO Box 100
Bruce WI 54819","No","United States of America","0005804919","None","None","John Manosky","General Manager","Business Office","620 North Alvey Street
Bruce WI 54819","United States of America","715-868-5111","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2025-03-07","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=478e124d1bf0741002beea82f54bcb46&view=sp"
"RMD0002319","0004324828","THE MCCLURE TELEPHONE COMPANY, INC.","311 S. EAST STREET
PO Box 26
MCCLURE OH 43534","No","United States of America","0017194317","McClure Communications, M2X","None","Lance Miller","General Manager","Business Office","311 S. EAST STREET
MCCLURE OH 43534","United States of America","419-748-8029","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2025-03-07","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=09c3aa051b34741002beea82f54bcb1e&view=sp"
"RMD0002320","0017194317","McClure Communications Corporation","311 S. East
PO Box 26
McClure OH 43534","No","United States of America","0004324828","M2X","None","Lance Miller","General Manager","Business Office","311 S. East
McClure OH 43534","United States of America","419-748-8008","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2025-03-07","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=5a54a6451b34741002beea82f54bcbfc&view=sp"
"RMD0002321","0015045149","Christensen Communications Co. - CLEC","104 West Main St.
Madelia MN 56062","No","United States of America","0003773991","None","None","Glen Christensen","General Manager","Business Office","104 West Main St.
Madelia MN 56062","United States of America","507-642-5514","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2025-03-05","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=d155a2c51b34741002beea82f54bcb6b&view=sp"
"RMD0002323","0004266664","San Carlos Apache Telecommunications Utility, Inc.","PO Box 1000
10 Telecom Lane
Peridot AZ 85542","No","United States of America","None","None","None","Shirley Ortiz","General Manager","Accounting","PO Box 1000
Peridot AZ 85542","United States of America","928-475-2433","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-10-17","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=69e96e4d1b34741002beea82f54bcbd3&view=sp"
"RMD0002324","0002901791","Sweetser Telephone Company Inc.","210 N Main St
Sweetser IN 46987","No","United States of America","0003781200; ComTeck of Indiana","None","None","Lynn Hess","Accountant","Accounting","210 N Main St
Sweetser IN 46987","United States of America","765.384.4311","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-07-30","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=940ce6051b3c741064c4426de54bcb88&view=sp"
"RMD0002325","0002650422","Park Region Mutual Telephone Company","PO Box 277
Underwood MN 56586","No","United States of America","0003770815, 0003770948, 0007068935, 0005072343, 0025853722","None","None","Dave Bickett","General Manager","Business Office","100 Main St
Underwood MN 56586","United States of America","218-826-6161","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2025-03-05","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=9fdc2e811b74741002beea82f54bcbf8&view=sp"
"RMD0002326","0025853722","Rothsay Telephone Company, Inc.","100 Main Street
Underwood MN 56586","No","United States of America","0002650422, 0008770815, 0003770948, 0007068935, 0005072543, 0025853722","None","None","Dave Bickett","General Manager","Business Office","100 Main Street
Underwood MN 56586","United States of America","218-826-6161","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2025-03-05","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ed6da6c11b74741002beea82f54bcb66&view=sp"
"RMD0002327","0003770815","Valley Telephone Company","PO Box 277
Underwood MN 56586","No","United States of America","0002650422, 0003770948, 0007068935, 0005072343, 0025853722","None","None","Dave Bickett","General Manager","Business Office","PO Box 277
Underwood MN 56586","United States of America","218-826-6161","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2025-03-05","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=8cddeec11b74741002beea82f54bcbb1&view=sp"
"RMD0002328","0031045321","IP-COM LLC","2901 SW 149th Ave. Suite 480
Miramar FL 33027","No","United States of America","none","None","IP-Com inc","Angel Rivera","Officer","Engineering Dept","2901 SW 149th Ave. Suite 480 
Miramar FL 33027","United States of America","3054772902","168","Complete STIR/SHAKEN Implementation","Yes","Yes","No","2025-02-25","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=beca66451b7074109294113d9c4bcb81&view=sp"
"RMD0002329","0004324661","HOT SPRINGS TELEPHONE COMPANY","10410 US Hwy 10 W
P.O. Box 17740
Missoula MT 59808","No","United States of America","None","None","None","DJ Bulkley","Director of Operations","Operations","216 Main Street
Hot Springs MT 59845","United States of America","406-741-5602","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-07-25","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=01fe26451b74741002beea82f54bcb5c&view=sp"
"RMD0002330","0017141102","Computer Techniques, LLC","520 N Cheney St
Taylorville IL 62568","No","United States of America","None","CTI Fiber
CTI","None","Aaron K. Bialas","Regional Network Manager","Information Technology","520 N. Cheney St.
Taylorville IL 62568","United States of America","218.824.6398","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-08-21","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=7c123ac11b7c34107ccf20ecac4bcb7c&view=sp"
"RMD0002331","0003772993","Woodhull Community Telephone Company","246 N. Division Street
PO Box 117
Woodhull IL 61490","No","United States of America","0003773025; Diverse Communications, Inc.
0004978532; Tri Rural Independent Operations, L.L.C.","Diverse Communications Inc,
TRIO Long Distance","None","Philip Wirt","General Manager","Busines Office","246 N. Division Street
Woodhull IL 61490","United States of America","309.334.2150","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","Yes","2024-08-15","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=16a272051b7c34107ccf20ecac4bcb6c&view=sp"
"RMD0002332","0002061653","Pembroke Telephone Cooperative","504 Snidow St
PO Box 549
Pembroke VA 24136","No","United States of America","None","PemTel","None","Sherri G Davidson","Business Office Supervisor","Office","PO Box 549
Pembroke VA 24136","United States of America","540.626.7111","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-08-16","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=bc433e051b7c34107ccf20ecac4bcb8e&view=sp"
"RMD0002333","0002594190","Mutual Telephone Company of Sioux Center, Iowa d/b/a Premier Communications","339 First Avenue NE
P.O. Box 200
Sioux Center IA 51250","No","United States of America","0002595858; Northern Iowa Telephone Company
0002586998; Webb-Dickens Telephone Corporation
0003713963; Heartland Telecommunications Company of Iowa
0002587707; Hospers Telephone Exchange, Inc.
0004338315; Premier Communications, Inc.
0003757838; Royal Telephone Company","Premier Communications","None","Bryan Bleeker","Network Technician","Network","339 1st Ave NE
Sioux Center IA 51250","United States of America","712.772.3451","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","Yes","2024-07-30","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=a2c376451b7c34107ccf20ecac4bcb7e&view=sp"
"RMD0002334","0004329314","Arapahoe Telephone Company","524 Nebraska Ave
PO Box 300
Arapahoe NE 68922","No","United States of America","0006764575","ATC Communications
Applied Communications Technology, Inc","NONE","John E Koller","VP","Management","524 Nebraska Ave
Arapahoe NE 68922
Nebraska","United States of America","3089627298","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-12-02","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=142bf60d1b7c34107ccf20ecac4bcb8d&view=sp"
"RMD0002335","0006764575","APPLIED COMMUNICATIONS TECHNOLOGY, INC","524 Nebraska Ave
PO Box 300
Arapahoe NE 68922","No","United States of America","0004329314","ATC Communications
Arapahoe Telephone Company","NONE","John E Koller","VP","Management","524 Nebraska Ave
Arapahoe NE 68922","United States of America","3089627298","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-12-02","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=a7ad7e8d1b7c34107ccf20ecac4bcb60&view=sp"
"RMD0002336","0015534811","Fort Mojave Telecommunications, Inc.","8490 South Highway 95
Suite 104
Mojave Valley AZ 86440","No","United States of America","None","None","None","Tanda Suchta","Central Office Supervisor","Central Office","8490 South Highway 95
Suite 104
Mojave Valley AZ 86440","United States of America","9283462500","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-11-26","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=7d1dbe491bb4741002beea82f54bcb28&view=sp"
"RMD0002337","0030780944","IT HUB Networks CORP","15207 Signal Ridge Way
Cypress TX 77429","No","United States of America","None","Vortex VOIP Technology
Vortex VT
IT HUB Networks, Corp
IT HUB Networks","None","Harpreet Singh","President","Executive","15207 Signal Ridge Way
Cypress TX 77429","United States of America","8323611787","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","No","No","No","2023-07-17","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ec563a011b7074102eb2a82fe54bcbf5&view=sp"
"RMD0002339","0001647734","Lincoln Telephone Company , Inc.","111 Stemple Pass Road
Lincoln MT 59639","No","United States of America","none","Linctel Communications","none","Bryce Daniel","General Manager","Management","111 Stemple Pass Road
Lincoln MT 59639","United States of America","4063624216","1000","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2025-01-15","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=de3403011bbc741064c4426de54bcba3&view=sp"
"RMD0002340","0022325971","LINKGLOB LLC","7220 GLADWIN WAY
ELK GROVE CA 95757","No","United States of America","None","None","None","Sanditha Mujeeb","Administration","Accounts","1425 River Park Drive, Ste 401
Sacramento CA 95815","United States of America","9162266066","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-12-22","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ff2d9c1d1bf8741002beea82f54bcb95&view=sp"
"RMD0002342","0030926133","Bezeq International","36 Shacam St
  Petach Tikva, Israel","Yes","Israel","None","None","None","Amit Marzel","Head of Business development and carrier relations","Global business Unit","36 Shacham Street
Petach Tikva 49170","Israel","'+972-76-561-4551","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-04-07","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=783385d91b7c741002beea82f54bcb7c&view=sp"
"RMD0002343","0004315933","Claro Enterprise Solutions","3350 SW 148th Avenue
STE 400
Miramar FL 33027","No","United States of America","None","None","Telmex USA, L.L.C.","Cori Reitman","General Counsel","Legal","3350 SW 148th Avenue
Miramar FL 33027","United States of America","9545177302","","Complete STIR/SHAKEN Implementation","No","Yes","Yes","2024-04-02","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=c38139511b3874107ccf20ecac4bcb48&view=sp"
"RMD0002346","0030639074","MASH Connected Networks LLC","1209 Orange Street
DE 19801 Wilmington, United States","No","United States of America","None","M Connected Networks","None","Max Ashurst","CEO","Legal","1209 Orange Street
DE 19801 Wilmington, United States","United States of America","5145190313","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","No","No","Yes","2024-02-26","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=39718a551b7874107ccf20ecac4bcb98&view=sp"
"RMD0002347","0002566594","Coon Rapids Municipal Utilites","123 3rd Ave
PO Box 207
Coon Rapids IA 50058","No","United States of America","None","None","None","Brad Honold","General Manager","Communications","123 3rd Ave
Coon Rapids IA 50058
Iowa","United States of America","712-999-2225","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-04-03","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=044546911bbc74109294113d9c4bcb23&view=sp"
"RMD0002349","0029608643","RingLogix LLC","7735 NW 146 St
STE 202
Miami Lakes FL 33016","No","United States of America","none","none","3ngNetworks","Gabe Olano","Director of Engineering","Engineering","7735 NW 146 St
STE 202
Miami Lakes FL 33016","United States of America","3059088080","220","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-04-25","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=e1644a991b7874107ccf20ecac4bcb69&view=sp"
"RMD0002350","0026466813","CRAM INDUSTRIES L.L.C.","5 Pleasant Ave
Fanwood NJ 07023","No","United States of America","None","Logicom USA","None","Terri K Firestein","Sr Director","Regulatory Compliance","10806 Garrison Hollow Rd
Clear Spring MD 21722","United States of America","301-788-6889","","Complete STIR/SHAKEN Implementation","Yes","No","No","2025-02-17","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=aea21e191bbc74102eb2a82fe54bcb0d&view=sp"
"RMD0002351","0002598209","Clear Lake Independent Telephone Company","107 N 4th St
PO Box 66
Clear Lake IA 50428","No","United States of America","0002557742;0004336871;0004336814","Skyblue Solutions;Ventura Telephone","none","Blaine Archer","NOC Supervisor","none","107 N 4th St
Clear Lake IA 50428","United States of America","6413572111","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-07-25","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=b7771a511b3cb41064c4426de54bcb8d&view=sp"
"RMD0002352","0018261735","Truphone, Inc.","1919 M Street NW
Suite 800
Washington District of Columbia 20036","No","United States of America","19107051;17159138","Truphone 
iSmart Mobile LLC 
Smart Call LLC","Software Cellular Network (North America) Ltd.","James Wild","Company Secretary","Legal","4819 Emperor Blvd.
Suite 400
Durham NC 27703","United States of America","704 817 0118","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-04-23","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=7c479a991b30b4109294113d9c4bcba4&view=sp"
"RMD0002353","0008515595","Socket Telecom, LLC","2703
Clark Lane
Columbia MO 65202","No","United States of America","None","Socket","None","Matt Kohly","Director","Carrier Relations","2703
Columbia MO 65202","United States of America","5737771991","553","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-12-17","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=396bda991b34b41002beea82f54bcbb5&view=sp"
"RMD0002354","0002598076","Scranton Telephone Company","1200 Main Street
Scranton IA 51462","No","United States of America","none","none","none","Allen Jacob","Manager","IT","1200 Main Street
Scranton IA 51462","United States of America","7126523355","14","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-09-25","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=e5ba1e591b34b41002beea82f54bcbd3&view=sp"
"RMD0002355","0002593481","Sac County Mutual Telephone Company","108 S Maple Street
P.O. Box 488
Odebolt IA 51458","No","United States of America","none","none","none","Ronald Sorensen","General Manager","Management","108 S Maple Street
Odebolt IA 51458","United States of America","712-668-2200","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-10-09","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=e05f12951b74b41002beea82f54bcb02&view=sp"
"RMD0002356","0006301592","InterBel Telephone Cooperative, Inc.","300 Dewey Avenue
PO Box 648
Eureka MT 59917","No","United States of America","none","none","none","jared sherwood","CO supervisor","Operations","300 Dewey Avenue
Eureka MT 59917","United States of America","4068891005","","Complete STIR/SHAKEN Implementation","Yes","No","No","2025-02-03","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=f031e2111b7c74107ccf20ecac4bcb4e&view=sp"
"RMD0002357","0002565059","Grundy Center Municipal Light & Power","706 6th Street
P.O. Box 307
Grundy Center IA 50638","No","United States of America","None","None","None","Jeff Carson","General Manager","Office","706 6th St
Grundy Center IA 50638","United States of America","3198255207","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-12-13","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=35172a1d1b7c74107ccf20ecac4bcb4b&view=sp"
"RMD0002358","0007025059","Telefonica Larga Distancia de Puerto Rico, Inc.","Waterford Way
Suite 300
Miami FL 33126","No","United States of America","None","None","None","Roberto Arroyo Garc�a","Network Engineer","Digital Voice & Unified Comms | SIPTRUNK Design","Millenium Park Plaza
San Juan PR 00968","United States of America","305 925-5336","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-05-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=94086a591bb0b4109294113d9c4bcbab&view=sp"
"RMD0002359","0024512808","Tresta, Inc.","2639 North Monroe Street, Suite 200B
Tallahassee FL 32303","No","United States of America","None","PATLive and Hosted Numbers","None","Jaclyn Gonzalez","CEO","Executive Offices","1950 Commonwealth Lane
Suite A
Tallahassee FL 32303","United States of America","(305) 978-3521","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-04-26","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=7f4d2e951b70b4102eb2a82fe54bcb31&view=sp"
"RMD0002361","0004329223","Doylestown Telephone Company","81 N. Portage St.
Doylestown OH 44230","No","United States of America","None","None","None","John Clarke","General Manager","Administration","81 N. Portage St.
Doylestown OH 44230","United States of America","3306582121","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2025-02-25","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=123332511bfc74107ccf20ecac4bcb94&view=sp"
"RMD0002362","0011928140","Doylestown Communications, Inc. d/b/a Heritage Telephone Company d/b/a Ohio.net Internet Providers","81 North Portage St.
Doylestown OH 44230","No","United States of America","007452204","Heritage Telephone Company
Ohio.Net Internet Providers","None","John Clarke","General Manager","Administration","81 North Portage St.
Doylestown OH 44230","United States of America","3306584500","","Complete STIR/SHAKEN Implementation","Yes","No","No","2025-02-25","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=539472d11bfc74107ccf20ecac4bcb04&view=sp"
"RMD0002363","0031047848","Infinivirt Technologies S.A.S.","Cra 43a # 9 Sur-91
Antioquia  Medellin, Colombia","Yes","Colombia","None","None","None","Jacob Moritz","CTO","VSS","Cra 43a # 9 Sur-91
Antioquia  Medellin, Colombia","Colombia","'+573117417969","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-04-17","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=d767fe551bb0b4102eb2a82fe54bcbdd&view=sp"
"RMD0002364","0016845190","Phone.com, Inc","184 south livingston ave
suite 9-222
Livingston NJ 07039","No","United States of America","None","None","Phone.com LLC","Yaron Globus","V.P Operation","Operations","350 5th Avenue Suite 4215
New York NY 10118
NY","United States of America","845-985-1222","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-26","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=f5f4f6911b34b4109294113d9c4bcb69&view=sp"
"RMD0002365","0021995329","SIP.US LLC","12725 Morris Road
Suite 420
Alpharetta GA 30004","No","United States of America","None","None","SIP.US.llc","Doug Fechter","CFO","Regulatory","12725 Morris Road STE 420
Alpharetta GA 30004","United States of America","212-849-2202","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-10-24","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=475f76d11bf0b4102eb2a82fe54bcbca&view=sp"
"RMD0002367","0030373278","Kosciusko Connect LLC","370 South 250 E
Warsaw IN 46582","No","United States of America","None","None","None","Curtis E. Barkey","Vice President of Technology and Broadband","Technology and Broadband","370 South 250 E
Warsaw IN 46582","United States of America","5742676331","2367","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2025-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=2190cfd91b30f41064c4426de54bcbd4&view=sp"
"RMD0002368","0003734183","Xtel Communications, Inc.","10000 Midlantic Drive
Suite 410 E
Mount Laurel NJ 08054","No","United States of America","0018511246","None","None","Harbinder Goraya","Vice President","Operations and Engineering","10000 Midlantic Drive
Suite 410 E
Mount Laurel NJ 08054","United States of America","8568070423","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-23","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=381f7a191b74b4109294113d9c4bcb43&view=sp"
"RMD0002369","0011245867","LBH, LLC","153 W. Dave Dugas Rd.
Sulphur LA 70665","No","United States of America","none","Fastwyre Broadband","none","Stacy Hartman","SVP Regulatory Affairs","Legal","13200 Metcalf, Suite 400
Overland Park KS 66213","United States of America","7203702070","","Complete STIR/SHAKEN Implementation","Yes","No","No","2025-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=a4c8c31d1bb4b4109294113d9c4bcba7&view=sp"
"RMD0002370","0003731114","Elizabeth Telephone Company, LLC","153 W. Dave Dugas Road
Sulphur LA 70665","No","United States of America","none","Fastwyre Broadband","none","Stacy Hartman","SVP Regulatory Affairs","Legal","13200 Metcalf, Suite 400
Overland Park KS 66213","United States of America","7203702070","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2025-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=3d49075d1bb4b4109294113d9c4bcb81&view=sp"
"RMD0002371","0005067509","OGDEN TELEPHONE COMPANY","4726 E. WESTON ROAD
BLISSFIELD MI 49228","No","United States of America","0021136676:0010951887","none","none","Larry Bausman","Plant Manager","Business Office","4726 E. WESTON ROAD
BLISSFIELD MI 49228","United States of America","5174435595","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-15","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=3247cf191bb4b4109294113d9c4bcba3&view=sp"
"RMD0002372","0003731155","Cameron Communications, LLC","153 W. Dave Dugas Road
P. O. Box 167
Sulphur LA 70664","No","United States of America","none","Fastwyre Broadband","none","Stacy Hartman","SVP Regulatory Affairs","Legal","13200 Metcalf, Suite 400
Overland Park KS 66213","United States of America","720-370-2070","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","Yes","2025-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=fed9039d1bb4b4109294113d9c4bcb88&view=sp"
